variable_type,donor_role,layer,patch_position,n_pairs,n_groups,mean_nme,median_nme,nme_ci_lo,nme_ci_hi,frac_nme_nonfinite,frac_small_denominator,mean_abs_denominator,mean_abs_shift,median_abs_shift,iia,iia_vocab,iia_answerset,base_accuracy,donor_accuracy,iia_normalized,restrict_to_correct_base,criterion_rule,criterion_min_pairs,criterion_min_mean_nme,criterion_min_nme_ci_lower,is_causally_used
z1,cf_z1,5,-1,176,176,-0.0011830715663531778,0.0,-0.00410680056504149,0.0017076644026464778,0.0,0.0,5.369318181818182,0.04403409090909091,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,correct-pairs_nme_ci,20,0.3,0.1,False
z1,cf_z1,10,-1,176,176,-0.0034671259363733653,0.0,-0.006216212079087498,-0.0005801863092884272,0.0,0.0,5.369318181818182,0.049005681818181816,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,correct-pairs_nme_ci,20,0.3,0.1,False
z1,cf_z1,15,-1,176,176,0.06440450833612134,0.0582579185520362,0.05545845079279265,0.07383708670738595,0.0,0.0,5.369318181818182,0.3856534090909091,0.25,0.005681818181818182,0.005681818181818182,0.005681818181818182,1.0,1.0,0.005681818181818182,False,correct-pairs_nme_ci,20,0.3,0.1,False
z1,cf_z1,20,-1,176,176,0.7841022986540435,0.7906976744186046,0.7645889141236412,0.802562513414957,0.0,0.0,5.369318181818182,4.127840909090909,4.125,0.9090909090909091,0.9090909090909091,0.9090909090909091,1.0,1.0,0.9090909090909091,False,correct-pairs_nme_ci,20,0.3,0.1,True
z1,cf_z1,25,-1,176,176,0.855120540179577,0.8695652173913043,0.8406303708518689,0.8672569427673477,0.0,0.0,5.369318181818182,4.487215909090909,4.375,0.9659090909090909,0.9659090909090909,0.9772727272727273,1.0,1.0,0.9659090909090909,False,correct-pairs_nme_ci,20,0.3,0.1,True
z1,cf_z1,30,-1,176,176,0.9711873866733591,0.9753048780487805,0.9633688749896234,0.9786894995302701,0.0,0.0,5.369318181818182,5.144886363636363,5.125,0.9772727272727273,0.9772727272727273,0.9886363636363636,1.0,1.0,0.9772727272727273,False,correct-pairs_nme_ci,20,0.3,0.1,True
z2,cf_z2,0,-1,175,175,-0.0027806401022952582,0.0,-0.005513658136083215,-0.00023423076956791803,0.0,0.0,5.18,0.03357142857142857,0.0,0.005714285714285714,0.005714285714285714,0.0,1.0,1.0,0.005714285714285714,False,correct-pairs_nme_ci,20,0.3,0.1,False
z2,cf_z2,5,-1,175,175,-0.0016954838244140908,0.0,-0.0039359707087082306,0.0004498999388056932,0.0,0.0,5.18,0.032857142857142856,0.0,0.005714285714285714,0.005714285714285714,0.0,1.0,1.0,0.005714285714285714,False,correct-pairs_nme_ci,20,0.3,0.1,False
z2,cf_z2,10,-1,175,175,-0.003567866984894852,0.0,-0.006261301705180339,-0.0009762169249851624,0.0,0.0,5.18,0.04214285714285714,0.0,0.005714285714285714,0.005714285714285714,0.0,1.0,1.0,0.005714285714285714,False,correct-pairs_nme_ci,20,0.3,0.1,False
z2,cf_z2,15,-1,175,175,0.09280658421871862,0.08823529411764706,0.0846526432209776,0.10179148035691998,0.0,0.0,5.18,0.47,0.375,0.011428571428571429,0.011428571428571429,0.005714285714285714,1.0,1.0,0.011428571428571429,False,correct-pairs_nme_ci,20,0.3,0.1,False
z2,cf_z2,20,-1,175,175,0.8273987446039811,0.8518518518518519,0.8137380469634601,0.8424528580220263,0.0,0.0,5.18,4.2492857142857146,4.125,0.9028571428571428,0.9028571428571428,0.9142857142857143,1.0,1.0,0.9028571428571428,False,correct-pairs_nme_ci,20,0.3,0.1,True
z2,cf_z2,25,-1,175,175,0.8700455985656442,0.8857142857142857,0.8582407631936936,0.8808876520377315,0.0,0.0,5.18,4.462142857142857,4.375,0.9542857142857143,0.9542857142857143,0.9657142857142857,1.0,1.0,0.9542857142857143,False,correct-pairs_nme_ci,20,0.3,0.1,True
z2,cf_z2,30,-1,175,175,0.9840519049189362,1.0,0.9781337778533835,0.9903711159527031,0.0,0.0,5.18,5.061428571428571,5.0,0.9885714285714285,0.9885714285714285,0.9942857142857143,1.0,1.0,0.9885714285714285,False,correct-pairs_nme_ci,20,0.3,0.1,True
