variable_type,layer,position,n_train,n_val,n_test,n_classes,chance,best_C,val_balanced_accuracy,test_accuracy,test_balanced_accuracy,test_cross_entropy,test_macro_auroc,null_mean,null_q95,null_max,bootstrap_lo,bootstrap_hi,n_permutations,n_features,families,notes,criterion_margin,criterion_quantile,passes_margin,passes_null,is_represented,matched_control,control_test_balanced_accuracy,actual_minus_control_bacc,matched_control_margin,basic_probe_pass,control_distinguishable,control_ambiguous
z1,0,-1,700,280,420,3,0.3333333333333333,1.0,0.8942460317460318,0.8690476190476191,0.8696296886480935,0.371760295615987,0.9687688070559438,0.347213484538638,0.4131324134041049,0.4379954547351568,0.8112421031844067,0.9180379014570685,50,699,demo_two_step,,0.1,0.95,True,True,True,z1_control,0.7297178091681932,0.13991187947990036,0.05,True,True,False
z1,5,-1,700,280,420,3,0.3333333333333333,0.3,0.8426190476190477,0.7619047619047619,0.7709276311379729,0.688696429705384,0.9238887780312148,0.3335629767058339,0.420477885149226,0.4408041855894616,0.7077275040108642,0.8393647245975228,50,699,demo_two_step,,0.1,0.95,True,True,True,z1_control,0.5543321806553629,0.21659545048260997,0.05,True,True,False
z1,10,-1,700,280,420,3,0.3333333333333333,0.03,0.8814682539682539,0.8380952380952381,0.8381806040877032,0.36821822837805895,0.9644384118174498,0.34027751409171214,0.41555783198202123,0.43680766599259147,0.7760379739631086,0.8925682175725741,50,699,demo_two_step,,0.1,0.95,True,True,True,z1_control,0.6573546089505737,0.1808259951371295,0.05,True,True,False
z1,15,-1,700,280,420,3,0.3333333333333333,1.0,0.9315079365079365,0.9547619047619048,0.9580616481580547,0.10970454430902454,0.9967958260844383,0.3535960051244889,0.4261345962441492,0.44182162175150785,0.9312205438488377,0.9816617196683581,50,699,demo_two_step,,0.1,0.95,True,True,True,z1_control,0.6651827650180828,0.2928788831399719,0.05,True,True,False
z1,20,-1,700,280,420,3,0.3333333333333333,1.0,0.9890873015873015,0.9809523809523809,0.982749746115215,0.07408091405525066,0.9981028736554197,0.3586152801332469,0.43592065642021816,0.4594220659076049,0.9650774572649573,0.9956471720214191,50,699,demo_two_step,,0.1,0.95,True,True,True,z1_control,0.6022343654595838,0.3805153806556313,0.05,True,True,False
z1,25,-1,700,280,420,3,0.3333333333333333,0.1,0.9892261904761904,0.9380952380952381,0.941838442013727,0.1455825407608355,0.9956703887564831,0.34523671673540207,0.42038070070935973,0.4627780243906449,0.9037769346319097,0.9754322546283124,50,699,demo_two_step,,0.1,0.95,True,True,True,z1_control,0.5477511282153649,0.39408731379836215,0.05,True,True,False
z1,30,-1,700,280,420,3,0.3333333333333333,0.1,0.9789484126984127,0.9142857142857143,0.9162393940658621,0.20120994164473435,0.9912049122373654,0.3509466494164128,0.4290471384686985,0.46886265939727817,0.873068689436504,0.9502490787052648,50,699,demo_two_step,,0.1,0.95,True,True,True,z1_control,0.47054531061637944,0.44569408344948264,0.05,True,True,False
z2,0,-1,700,280,420,3,0.3333333333333333,0.1,0.8969582721734185,0.919047619047619,0.9181718858077094,0.22694951024559723,0.9842834500618706,0.34787304282210896,0.4187653272967364,0.46590658995158146,0.882157487727859,0.9469665586898179,50,699,demo_two_step,,0.1,0.95,True,True,True,z2_control,0.6327160493827161,0.2854558364249933,0.05,True,True,False
z2,5,-1,700,280,420,3,0.3333333333333333,0.01,0.6406475210261785,0.5833333333333334,0.5799534678991385,0.8548494145231156,0.8097983784099897,0.3329869364270892,0.38323743947682826,0.40500220084260824,0.5192964335519756,0.6482919641954207,50,699,demo_two_step,,0.1,0.95,True,True,True,z2_control,0.4235743680188125,0.156379099880326,0.05,True,True,False
z2,10,-1,700,280,420,3,0.3333333333333333,1.0,0.8752677169200406,0.8595238095238096,0.8555461233729486,0.5581756375338545,0.9539065668187443,0.33624300446456645,0.3864029192605169,0.39455212852920835,0.8043015601610632,0.8999319834510564,50,699,demo_two_step,,0.1,0.95,True,True,True,z2_control,0.4640852974186307,0.39146082595431786,0.05,True,True,False
