variable_type,layer,position,n_train,n_val,n_test,n_classes,chance,best_C,val_balanced_accuracy,test_accuracy,test_balanced_accuracy,test_cross_entropy,test_macro_auroc,null_mean,null_q95,null_max,bootstrap_lo,bootstrap_hi,n_permutations,n_features,families,notes
answer,15,-1,700,280,420,12,0.08333333333333333,0.003,0.2571738803048101,0.29523809523809524,0.293483329681719,2.130955971480834,0.765227493008037,0.08869259683007416,0.12029338637919626,0.12880048814713063,0.2418750339900351,0.3414968011945824,50,699,demo_two_step,
answer,20,-1,700,280,420,12,0.08333333333333333,0.1,0.7823745131809647,0.7666666666666667,0.7553311569163429,0.7507139412024963,0.9747011390308687,0.09278700363375954,0.13028202982972714,0.14756590668285313,0.6928191283307114,0.8051767699283386,50,699,demo_two_step,
answer,25,-1,700,280,420,12,0.08333333333333333,0.01,0.9890873015873015,0.9714285714285714,0.9719026292302154,0.10515906296774206,0.9992387654669415,0.0908868064664344,0.1375835095527983,0.1756013927350134,0.9519355023636418,0.9873670990237494,50,699,demo_two_step,
answer,30,-1,700,280,420,12,0.08333333333333333,0.01,0.9710798460798461,0.9738095238095238,0.9740808423459285,0.13026760441319912,0.998829495898233,0.09440575804970086,0.14756856432502982,0.15995587062397407,0.9587681334964651,0.9885530406762569,50,699,demo_two_step,
z1_control,0,-1,700,280,420,3,0.3333333333333333,1.0,0.7182651321398125,0.7261904761904762,0.7297178091681932,0.8914917576664028,0.8849167243857338,0.3447951354641241,0.4201669108034694,0.4399741479185258,0.664037749538542,0.7877178686349904,50,699,demo_two_step,
z1_control,5,-1,700,280,420,3,0.3333333333333333,0.1,0.7145353793691389,0.5523809523809524,0.5543321806553629,1.4483311269706058,0.7474310828980443,0.3417679932248368,0.40787535054913654,0.4256121522396004,0.45472499452892157,0.638662824623071,50,699,demo_two_step,
z1_control,10,-1,700,280,420,3,0.3333333333333333,1.0,0.6356990622335891,0.6547619047619048,0.6573546089505737,1.3373383575271836,0.844354701913073,0.3480495035069591,0.43710842095838615,0.4681818559876631,0.5715706804447376,0.7372084112885041,50,699,demo_two_step,
z1_control,15,-1,700,280,420,3,0.3333333333333333,1.0,0.6101662404092072,0.6642857142857143,0.6651827650180828,1.3219181556631978,0.8269638699213947,0.3345111882172436,0.4003210105404474,0.48504258450362436,0.5827470374198466,0.7381281171607592,50,699,demo_two_step,
z1_control,20,-1,700,280,420,3,0.3333333333333333,0.1,0.5657075873827792,0.6023809523809524,0.6022343654595838,1.2049284412265115,0.7751808294290057,0.3455296863502575,0.3929591912369076,0.41363526059524364,0.5349142180390347,0.664426627611012,50,699,demo_two_step,
z1_control,25,-1,700,280,420,3,0.3333333333333333,1.0,0.5068627450980392,0.5452380952380952,0.5477511282153649,1.8612591607696662,0.7203085997046236,0.33891891673711905,0.3937502690886603,0.42546611048486843,0.48647219499100613,0.6092024085283233,50,699,demo_two_step,
z1_control,30,-1,700,280,420,3,0.3333333333333333,0.3,0.5112745098039216,0.46904761904761905,0.47054531061637944,1.714055038415324,0.6676315474270106,0.3354811916811484,0.3977409211932272,0.4100968670251906,0.3992733295141513,0.5354135098808962,50,699,demo_two_step,
z2_control,0,-1,700,280,420,3,0.3333333333333333,0.1,0.7525966827451976,0.6238095238095238,0.6327160493827161,0.9201882573150112,0.8462967718015101,0.33476671476671477,0.41805956389289717,0.45895462562129224,0.5423242911138823,0.7173802063262577,50,699,demo_two_step,
z2_control,5,-1,700,280,420,3,0.3333333333333333,0.3,0.5137534907336887,0.4166666666666667,0.4235743680188125,2.8386840335041077,0.6169545662545463,0.3276267970712415,0.39430682486238045,0.42218481107369993,0.34156122958619645,0.5044974490148931,50,699,demo_two_step,
z2_control,10,-1,700,280,420,3,0.3333333333333333,1.0,0.5256634509604807,0.46190476190476193,0.4640852974186307,2.6600005676472382,0.6607634183906618,0.322008177008177,0.37696274918497136,0.4085564641120197,0.38388018729971457,0.5460620707123665,50,699,demo_two_step,
z2_control,15,-1,700,280,420,3,0.3333333333333333,1.0,0.4439616653973089,0.46904761904761905,0.4756159478381701,2.1464176404359616,0.6502137661544577,0.3281692587248143,0.3935071615627171,0.4100662711773823,0.3978907840701715,0.5526031986497546,50,699,demo_two_step,
z2_control,20,-1,700,280,420,3,0.3333333333333333,1.0,0.5206342557332656,0.45476190476190476,0.4595291539735984,2.221304789135001,0.6427660878296105,0.3232571749238416,0.371566859066859,0.4045347656458767,0.39109377940899676,0.5327029343126727,50,699,demo_two_step,
z2_control,25,-1,700,280,420,3,0.3333333333333333,1.0,0.4676736904459677,0.3619047619047619,0.35980172091283197,2.7743998966324273,0.5512424369821011,0.34480332424776866,0.4197784725562503,0.4704585537918871,0.30872058734131586,0.42177540315157347,50,699,demo_two_step,
z2_control,30,-1,700,280,420,3,0.3333333333333333,1.0,0.48161504611999656,0.3523809523809524,0.3495804606915718,2.8373807428111584,0.5507224923823201,0.33660066271177386,0.3867858478969589,0.4062583507027952,0.2796040904123881,0.4270833201831146,50,699,demo_two_step,
answer_control,0,-1,700,280,420,12,0.08333333333333333,1.0,0.3422380045608766,0.3,0.3222962768060227,3.4881067355671753,0.7889421505666713,0.08494549431475205,0.13737440917648522,0.15387045322138743,0.25014754679390433,0.38619975559607694,50,699,demo_two_step,
answer_control,5,-1,700,280,420,12,0.08333333333333333,0.3,0.3138993005471194,0.23809523809523808,0.25860171666592763,3.360208393903072,0.7387013433147778,0.08470568272610864,0.11521498574009138,0.161967840351871,0.194951983565088,0.32797120511617034,50,699,demo_two_step,
answer_control,10,-1,700,280,420,12,0.08333333333333333,0.01,0.3485825788019163,0.24285714285714285,0.2669340313201376,2.431544110736676,0.7486819223581692,0.08122279357177668,0.12244329117736125,0.14066299032853463,0.17866865296977957,0.34894914043194086,50,699,demo_two_step,
answer_control,15,-1,700,280,420,12,0.08333333333333333,0.003,0.1925804201305944,0.24285714285714285,0.26228645077153523,2.3954759885059156,0.711883343561436,0.08561306510935936,0.12359248723017874,0.1641389437546177,0.20176806071808567,0.3171061936902191,50,699,demo_two_step,
answer_control,20,-1,700,280,420,12,0.08333333333333333,0.003,0.2315373163652968,0.27380952380952384,0.28493487679896595,2.1979863125328856,0.7468505502594659,0.08234375802150616,0.11102517692769115,0.13829927513918286,0.221024882578626,0.34300711083501145,50,699,demo_two_step,
answer_control,25,-1,700,280,420,12,0.08333333333333333,0.003,0.3001280628989115,0.29285714285714287,0.31230531953784907,2.0189932943396136,0.813068684373741,0.08523011083543743,0.13371614038948648,0.14609768412247562,0.26120263743482525,0.3722043076584908,50,699,demo_two_step,
answer_control,30,-1,700,280,420,12,0.08333333333333333,1.0,0.2963668660784506,0.25,0.2723071834104563,4.333405326972072,0.7950435283932261,0.08440934108167993,0.11621652758503462,0.14760494045215425,0.2123450195591502,0.33193921490578726,50,699,demo_two_step,
