method,method_label,n_events,n_groups,n_repr_positive,n_causal_positive,n_top1_claims,repr_auprc,repr_auprc_ci_lo,repr_auprc_ci_hi,causal_auprc,causal_auprc_ci_lo,causal_auprc_ci_hi,expected_precision,expected_precision_ci_lo,expected_precision_ci_hi,repr_precision,repr_precision_ci_lo,repr_precision_ci_hi,repr_recall,repr_recall_ci_lo,repr_recall_ci_hi,causal_precision,causal_precision_ci_lo,causal_precision_ci_hi,causal_recall,causal_recall_ci_lo,causal_recall_ci_hi
j_lens,J-Lens,23520,60,6132,2928,5880,0.4814970616738337,0.46885774297228605,0.4971978636543006,0.39389859268285154,0.36183109137071173,0.42683037379599537,0.5545918367346939,0.541828231292517,0.5682865646258504,0.4824829931972789,0.4670875850340136,0.4963562925170068,0.4626549249836921,0.44631661500720443,0.47974539532044375,0.3010204081632653,0.2935374149659864,0.3078231292517007,0.6045081967213115,0.5817220662359306,0.6290397694730813
r_lens,R-Lens,23520,60,6132,2928,5880,0.4522530647560174,0.4352887306732756,0.4719380199126421,0.3517054815741302,0.3262332102006727,0.38215112426594283,0.5452380952380952,0.5284651360544217,0.5627721088435373,0.4738095238095238,0.45892431972789116,0.4889625850340136,0.454337899543379,0.44038547388204186,0.4703430095915645,0.3006802721088435,0.2931972789115646,0.30791241496598637,0.6038251366120219,0.5819752839619888,0.6296537427162707
logit_lens,Logit Lens,23520,60,6132,2928,5880,0.4308287863322194,0.4122059764439737,0.4502112238533375,0.33815015100373386,0.30933758780803877,0.36731466220940096,0.5151360544217687,0.5016113945578231,0.5299319727891156,0.4421768707482993,0.43103316326530616,0.4519600340136054,0.42400521852576645,0.40936455848201403,0.43721048927783945,0.295578231292517,0.2891156462585034,0.3018707482993197,0.5935792349726776,0.5733219563736462,0.6162238544945785
